# HJD    Flux    Flux_err
7082.64486111    0.99436    0.00768
7082.64517361    0.98968    0.00770
7082.64548611    0.98526    0.01022
7082.64579861    0.99420    0.00813
7082.64611111    1.00682    0.00758
7082.64642361    1.00138    0.00773
7082.64673611    0.98745    0.00804
7082.64704861    0.99391    0.00776
7082.64736111    0.99444    0.00836
7082.64767361    1.00715    0.00774
7082.64798611    0.98651    0.00818
7082.64829861    0.99774    0.00810
7082.64861111    0.99026    0.00843
7082.64893519    0.98824    0.00866
7082.64924768    0.99984    0.00785
7082.64987269    0.98924    0.00803
7082.65018519    0.99312    0.00802
7082.65049769    0.99416    0.00806
7082.65081019    0.98800    0.00818
7082.65112269    1.00255    0.00789
7082.65143519    0.99484    0.00789
7082.65174769    1.00059    0.00776
7082.65206019    0.98203    0.00819
7082.65237269    0.98649    0.00811
7082.65268518    0.98801    0.00802
7082.65299769    0.98627    0.00808
7082.65331019    0.99186    0.00839
7082.65363426    1.00362    0.00800
7082.65394676    0.98532    0.00793
7082.65457176    0.98780    0.00825
7082.65488426    1.00007    0.00779
7082.65519676    0.99236    0.00833
7082.65550926    1.00416    0.00806
7082.65582176    1.00271    0.00793
7082.65613426    0.99608    0.00809
7082.65644676    1.00202    0.00841
7082.65675926    0.98878    0.00822
7082.65707176    0.98763    0.00833
7082.65738426    0.99044    0.00805
7082.65800926    0.99247    0.00810
7082.65833333    0.99377    0.00811
7082.65864583    1.00192    0.00957
7082.65927083    0.99079    0.00816
7082.65958333    0.99507    0.00797
7082.65989583    0.99031    0.00794
7082.66020833    0.98352    0.00850
7082.66052083    0.98802    0.00798
7082.66145833    0.99654    0.00794
7082.66177083    0.97549    0.00868
7082.66208333    0.98661    0.00830
7082.66239583    0.98813    0.00806
7082.66271991    0.99334    0.00807
7082.66303241    1.00097    0.00798
7082.66334491    0.98526    0.00793
7082.66365741    0.99122    0.00790
7082.66396991    0.98824    0.00791
7082.66428241    0.99524    0.00806
7082.66459491    1.00566    0.01643
7082.66490741    0.99791    0.00856
7082.66584491    0.99245    0.00809
7082.66646991    1.00166    0.00877
7082.66678241    1.00042    0.00862
7082.66709491    0.98577    0.00802
7082.66741898    0.98966    0.00775
7082.66835648    0.99587    0.00789
7082.66866898    0.99950    0.00834
7082.67023148    0.99102    0.00797
7082.67148148    1.00305    0.00855
7082.67180556    0.99954    0.00769
7082.67211806    0.99472    0.00794
7082.67336806    0.98919    0.00819
7082.67430556    0.98925    0.00857
7082.67524306    0.98933    0.00825
7082.67618056    0.99025    0.00840
7082.67649306    0.98955    0.00800
7082.67681713    0.99744    0.00819
7082.67712963    0.98984    0.00789
7082.67837963    0.99585    0.00798
7082.67869213    0.98737    0.00874
7082.67900463    0.99218    0.00793
7082.67962963    0.99224    0.00830
7082.68025463    0.99477    0.00814
7082.68151620    0.98775    0.00896
7082.68245370    0.99860    0.00814
7082.68276620    0.99420    0.00796
7082.68307870    0.98773    0.00793
7082.68339120    0.99372    0.00790
7082.68370370    0.98448    0.00962
7082.68432870    1.00846    0.00891
7082.68495370    0.99517    0.00776
7082.68527778    0.98675    0.00805
7082.68559028    0.99680    0.00801
7082.68621528    1.00166    0.00785
7082.68652778    1.00245    0.00796
7082.68684028    0.99264    0.00796
7082.68715278    0.99523    0.00817
7082.68746528    0.99577    0.00771
7082.68777778    0.99103    0.00789
7082.68810185    0.99885    0.00761
7082.68841435    0.98192    0.00868
7082.68872685    0.99832    0.00738
7082.68903935    0.98971    0.00750
7082.68935185    0.98362    0.00755
7082.68966435    0.99940    0.00763
7082.68997685    0.98998    0.00742
7082.69028935    0.99621    0.00780
7082.69060185    0.99447    0.00733
7082.69091435    0.99489    0.00787
7082.69122685    0.98991    0.00759
7082.69153935    0.98652    0.00766
7082.69216435    0.98944    0.00748
7082.69247685    0.98548    0.00754
7082.69280093    0.98406    0.00764
7082.69311343    0.98962    0.00718
7082.69342593    1.00050    0.00725
7082.69373843    0.99668    0.00748
7082.69405093    0.99177    0.00802
7082.69436343    0.99393    0.00748
7082.69467593    0.99370    0.00730
7082.69498843    0.99992    0.00743
7082.69530093    0.99019    0.00749
7082.69561343    0.99204    0.00771
7082.69592593    0.98921    0.00731
7082.69623843    0.99102    0.00756
7082.69655093    0.99707    0.00721
7082.69687500    0.98089    0.00732
7082.69718750    0.99658    0.00712
7082.69750000    1.00030    0.00702
7082.69781250    0.99449    0.00759
7082.69812500    0.99414    0.00719
7082.69843750    0.98931    0.00707
7082.69875000    0.98993    0.00707
7082.69906250    0.99252    0.00706
7082.69937500    0.99230    0.00707
7082.69968750    0.98367    0.00723
7082.70000000    0.99995    0.00709
7082.70031250    0.98973    0.00766
7082.70062500    0.97925    0.00728
7082.70093750    0.98893    0.00733
7082.70126157    0.99051    0.00743
7082.70188657    0.99539    0.00725
7082.70219907    0.99516    0.00701
7082.70251157    0.99267    0.00740
7082.70282407    1.00202    0.00703
7082.70313657    0.99329    0.00719
7082.70344907    0.98945    0.00767
7082.70376157    1.00190    0.00733
