time	TF2
4128.935743261594	-12.00469970703125
4128.936438000295	-12.073516845703125
4128.93713272782	-11.975128173828125
4128.937827466521	-12.004730224609375
4128.938522205688	-11.9849853515625
4128.939216944389	-12.014556884765625
4128.93991168309	-12.05389404296875
4128.940606410615	-12.08331298828125
4128.941301160958	-12.08331298828125
4128.941995899659	-12.004730224609375
4128.942690638825	-12.0244140625
4128.943385377526	-12.014556884765625
4128.944080104586	-12.0244140625
4128.944774843752	-12.063720703125
4128.945469582453	-12.03424072265625
4128.946164321154	-12.13226318359375
4128.946859060321	-11.994842529296875
4128.9475537873805	-12.05389404296875
4128.948248526547	-12.073516845703125
4128.948943265248	-12.063720703125
4128.949638004415	-12.112701416015625
4128.95033274265	-12.0244140625
4128.951027470175	-12.112701416015625
4128.951722208876	-12.03424072265625
4128.952416948043	-12.12249755859375
4128.953111686278	-12.05389404296875
4128.953806414269	-12.0440673828125
4128.95450115297	-12.0931396484375
4128.955195891671	-12.073516845703125
4128.9558906308375	-12.112701416015625
4128.95658538118	-12.014556884765625
4128.9572801082395	-12.0440673828125
4128.9579748469405	-12.08331298828125
4128.958669586107	-12.0440673828125
4128.959364324808	-12.112701416015625
4128.960059063509	-12.063720703125
4128.960753791034	-12.0931396484375
4128.961448529735	-12.0244140625
4128.962143268436	-12.0440673828125
4128.962838007137	-12.0931396484375
4128.963532746304	-12.05389404296875
4128.964227473363	-12.12249755859375
4128.96492221253	-12.073516845703125
4128.965616951231	-12.112701416015625
4128.966311690398	-12.05389404296875
4128.967006428633	-12.05389404296875
4128.967701156158	-12.07354736328125
4128.968395894859	-12.063720703125
4128.969090634026	-12.13226318359375
4128.969785372261	-12.073516845703125
4128.970480111428	-12.12249755859375
4128.971174850129	-12.07354736328125
4128.971869589295	-12.063720703125
4128.972564327996	-12.0931396484375
4128.973259066697	-12.05389404296875
4128.973953805864	-12.13226318359375
4128.974648532923	-12.073516845703125
4128.975343271624	-12.112701416015625
4128.976038010325	-12.0244140625
4128.978122215252	-12.073516845703125
4128.978816954419	-12.112701416015625
4128.97951169312	-12.112701416015625
4128.980206432287	-12.112701416015625
4128.98090115888	-12.05389404296875
4128.981595898047	-12.03424072265625
4128.982290636748	-12.08331298828125
4128.982985375915	-12.03424072265625
4129.000353799667	-11.93560791015625
4129.001048550475	-11.965240478515625
4129.001743277535	-11.9849853515625
4129.002438016236	-11.975128173828125
4129.003132754937	-12.03424072265625
4129.003827493638	-11.95538330078125
4129.004522221629	-12.0244140625
4129.005216959864	-11.965240478515625
